object_id,label
4514044545.0,0
454920812.0,0
454920813.0,0
454920814.0,0
454920815.0,0
2298686890.0,0
4115057846.0,0
220780316.0,0
220780311.0,0
2298686888.0,1
341825117.0,1
409611712.0,1
165275398.0,1
87102262.0,1
1732564683.0,1
3367156759.0,0
17859918.0,0
3048296942.0,1
3894575819.0,0
400874911.0,1
435724079.0,0
28289985.0,1
4576910523.0,1
4582390873.0,0
462909807.0,0
133599492.0,0
4582390872.0,1
34730631.0,0
34733094.0,0
29546940.0,0
34741297.0,0
34733949.0,0
34736758.0,0
34742713.0,0
34743345.0,0
34740246.0,0
48466175.0,0
48638068.0,0
34746675.0,0
48638720.0,0
40207774.0,0
48702375.0,0
48646193.0,0
48641266.0,0
48653497.0,0
48656213.0,0
48658972.0,0
48698281.0,0
48702465.0,0
48704719.0,0
48709935.0,0
48714460.0,0
48719862.0,0
48717784.0,0
48718610.0,0
111218255.0,0
111227203.0,0
111230515.0,0
111237912.0,0
48721198.0,0
111234009.0,0
111236199.0,0
111239966.0,0
111242581.0,0
111245474.0,0
111240934.0,0
111243636.0,0
111244588.0,0
111252569.0,0
111260330.0,0
111263832.0,0
111267773.0,0
111275465.0,0
111266204.0,0
111278802.0,0
137898019.0,0
137904805.0,0
137918276.0,0
137907145.0,0
137911007.0,0
137970106.0,0
137920339.0,0
137927504.0,0
137929628.0,0
137932850.0,0
137938023.0,0
137966659.0,0
137935064.0,0
137987056.0,0
137991599.0,0
137997198.0,0
137999859.0,0
138027012.0,0
140348905.0,0
138010977.0,0
140352003.0,0
140364932.0,0
140381909.0,0
140386492.0,0
140968976.0,0
140971270.0,0
140973364.0,0
140377142.0,0
140975603.0,0
140986178.0,0
140990184.0,0
140992604.0,0
140994451.0,0
140996661.0,0
140998748.0,0
141008618.0,0
141010721.0,0
140984478.0,0
141008603.0,0
140988379.0,0
140980889.0,0
141051965.0,0
141051973.0,0
141057142.0,0
141083811.0,0
141067933.0,0
141079809.0,0
150935667.0,0
150934610.0,0
150933908.0,0
150936508.0,0
150937894.0,0
150937401.0,0
150939382.0,0
150938746.0,0
150941165.0,0
150939994.0,0
150941747.0,0
150942431.0,0
150943688.0,0
150943340.0,0
150952869.0,0
150956544.0,0
150952726.0,0
150955370.0,0
150946405.0,0
150956984.0,0
150958540.0,0
150958806.0,0
150960215.0,0
150958882.0,0
150960164.0,0
150963633.0,0
150964086.0,0
150964720.0,0
150966349.0,0
150967990.0,0
150964811.0,0
150972572.0,0
150970663.0,0
150970659.0,0
150972576.0,0
150974789.0,0
150975295.0,0
150975181.0,0
150982015.0,0
150979161.0,0
257352077.0,0
